,i,j,MI_S,MI_B,delta
2132,bjets_dEta,bjets_pt_bb,0.03400173534863839,0.0006508046170485386,0.033350930731589845
772,trijet_pt_rat,trijet_bijet_dR,0.18375891315384124,0.15041435641588774,0.0333445567379535
1202,jj_lnu_dR,jj_l_dEta,0.2515185374792455,0.21835650986101385,0.03316202761823167
1962,trijet_bijet_dPhi,bjets_dPhi,0.046583795476124214,0.01349992341458331,0.033083872061540905
63,bjet0_pt,bjets_mbb,0.12238257054214316,0.1553242230019801,0.032941652459836934
1967,trijet_bijet_dPhi,bb_lnu_dPhi,0.1923678420334489,0.15944157297033004,0.03292626906311885
1429,WW_mT,blnu_mT,0.2265514017224739,0.2594591254581492,0.0329077237356753
1324,jj_l_dR,blnu_pt,0.08253646791346433,0.0496779781323054,0.032858489781158934
2049,bjets_mean_pt,bjet_bijet_dR,0.040167943926050234,0.007621632402501379,0.03254631152354885
1109,trijet_bijet_dR,blnu_pt,0.04026546597790816,0.07279310180746534,0.032527635829557186
1017,jj_l_dPhi,trijet_bijet_dR,0.07583197134902413,0.04348678460659207,0.03234518674243206
435,ak4_jet1_pt,WW_pt,0.1443067854239252,0.11233912206955658,0.03196766335436861
110,ak4_jet0_pt,mjj,0.04267528760389729,0.07449215354843629,0.031816865944538995
1367,jj_l_dEta,trijet_mInv,0.043030551343239284,0.01147204135746227,0.031558509985777014
968,ak4_jet3_pt,blnu_pt,0.023524027786539184,0.05507841416436987,0.03155438637783069
283,ak4_jet1_bscore,bjet1_pt,0.04944730423684324,0.018005003017582198,0.03144230121926104
1427,WW_mT,bjets_mean_pt,0.050635717382757905,0.0192277814530699,0.031407935929688005
33,bjet0_pt,bjet1_pt,0.03972483025823435,0.008556191102063102,0.03116863915617125
1477,blnu_bl_mInv,bjets_mbb,0.052091186284515256,0.020978782900805255,0.03111240338371
2040,bjets_mean_pt,met_pt,0.037281897813465296,0.006253603481479315,0.031028294331985982
2122,jj_lnu_dPhi,bjets_mbb,0.03188606032499797,0.0009353797811026306,0.030950680543895336
1434,WW_mT,jj_lnu_dPhi,0.07219841979028815,0.04130690748317923,0.030891512307108925
1802,ak4_jet2_eta,bb_lnu_dEta,0.038570429341802395,0.06927684412040161,0.030706414778599214
1093,trijet_bijet_dR,WW_mInv,0.05134925814622575,0.08162674248169954,0.030277484335473795
1681,ak4_jet0_eta,ak4_jet1_eta,0.06698415476126629,0.03684378473416297,0.03014037002710332
958,ak4_jet3_pt,bjets_dR,0.030550685613851648,0.0005377795606206805,0.030012906053230967
1611,nAK4_btag,bjets_dEta,0.030418744182101984,0.0005949741419506716,0.029823770040151312
2066,met_pt,blnu_pt,0.16416419192084336,0.13434769893168458,0.029816492989158783
1503,trijet_mInv,bjets_dPhi,0.035456003476177396,0.005728702143181233,0.029727301332996163
135,all_mInv,WW_pt,0.1594756389133675,0.12979322461140147,0.029682414301966026
664,ak4_jet2_pt,ak4_jet3_pt,0.4319780061317152,0.4614969970598239,0.029518990928108668
1045,jj_l_dPhi,mjj,0.031455831278311426,0.0019560030303399437,0.029499828247971482
2083,bjets_dPhi,bb_lnu_dPhi,0.036612200781675645,0.0071524073106273255,0.02945979347104832
55,bjet0_pt,all_sT,0.15371520337816563,0.12425654846450138,0.029458654913664256
1053,jj_l_dPhi,bjets_dR,0.040599059092637835,0.011234197878439305,0.02936486121419853
2092,bjets_dR,jj_lnu_dPhi,0.04951242411715118,0.02018758290391446,0.029324841213236717
1292,jj_l_dR,bjet_bijet_dEta,0.05834292119926636,0.02905915802938534,0.02928376316988102
1396,jj_l_dEta,jj_lnu_dPhi,0.031603322595554366,0.002328283867466332,0.029275038728088034
551,WW_pt,all_mT,0.16237915133669786,0.13313602274514424,0.02924312859155362
367,min_b_l_dPhi,jj_lnu_dPhi,0.09576619741058798,0.06660839477864428,0.029157802631943702
952,ak4_jet3_pt,WW_mInv,0.04171348735404622,0.07075762996079661,0.029044142606750388
505,min_b_lnu_dPhi,jj_lnu_dR,0.06687394136819845,0.03800939669732409,0.028864544670874362
1984,mjj,jj_lnu_dPhi,0.03301844635696122,0.004183960207147942,0.028834486149813276
1228,jj_lnu_dR,met_pt,0.04771037794677839,0.018877498653281748,0.028832879293496642
910,min_b_l_dR,all_sT,0.012667005921453974,0.04135757482306526,0.02869056890161129
876,min_b_l_dR,jj_lnu_dR,0.04154683678130127,0.012871698533206126,0.028675138248095144
222,ak4_jet2_bscore,bjet1_pt,0.0437668266161511,0.015145604484070704,0.028621222132080393
442,ak4_jet1_pt,ak4_jet3_pt,0.1593544156216879,0.1879706950451609,0.028616279423473
559,WW_pt,blnu_lnu_mT,0.05001182857842143,0.021469369734860584,0.028542458843560846
617,bjet_bijet_dPhi,trijet_pt,0.11424133959802438,0.08573375305140335,0.028507586546621028
808,trijet_pt_rat,bjets_dR,0.08180732330594633,0.05335133192939122,0.028455991376555106
580,WW_pt,nAK4,0.009193053410568662,0.037550820201319876,0.028357766790751214
562,WW_pt,trijet_pt,0.04157453061968526,0.0699164112724651,0.028341880652779844
417,lep0_pt,WW_mInv,0.05274783812433491,0.08107641523570083,0.028328577111365924
623,bjet_bijet_dPhi,trijet_mInv,0.06738058400834104,0.03915513858841825,0.028225445419922793
1245,trijet_pt,WW_mT,0.22481887536832207,0.25302164124361587,0.0282027658752938
460,ak4_jet1_pt,bjet1_pt,0.2219740209591043,0.25008154088694534,0.02810751992784105
1288,jj_l_dR,trijet_mInv,0.03705167615529906,0.008945150596063215,0.028106525559235842
1994,bb_lnu_dEta,bjets_mean_pt,0.029672331665105616,0.001756961604000025,0.02791537006110559
1632,bjet_bijet_dEta,WW_mInv,0.03564704635575087,0.007782041793690533,0.027865004562060335
2067,blnu_mT,bjets_dPhi,0.03149572185557052,0.0036865306547374695,0.027809191200833052
1231,jj_lnu_dR,bjets_dR,0.049140284092121234,0.0213955807115135,0.027744703380607735
182,all_mInv,all_sT,0.6542297063810855,0.6819658673853437,0.027736161004258242
919,min_b_l_dR,blnu_pt,0.043153284720064855,0.07084569321592418,0.027692408495859328
1963,trijet_bijet_dPhi,bjets_dR,0.032767448736831344,0.005114636773879584,0.02765281196295176
13,bjet0_pt,ak4_jet0_bscore,0.1349932142892672,0.10739345190230548,0.027599762386961713
1144,blnu_lnu_mT,bjets_dR,0.028259035604147748,0.0006825209534135693,0.027576514650734178
17,bjet0_pt,jj_l_dPhi,0.02863545083126637,0.0010872748492561923,0.02754817598201018
92,ak4_jet0_pt,trijet_mInv,0.16658458800589795,0.1390473256640246,0.027537262341873342
1077,trijet_bijet_dR,bjet_bijet_dEta,0.044800974570744126,0.07227568125545047,0.02747470668470635
388,lep0_pt,blnu_lnu_mT,0.22612765446862404,0.19868225205393247,0.027445402414691566
