llr_name,mu_value,llr_type,n_variables
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_pt_rat_llr,254.5,from_multivar,8
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_trijet_mInv_x_trijet_pt_llr,254.8125,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_rat_llr,255.0,from_multivar,8
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_rat_llr,255.0,from_multivar,8
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_x_trijet_pt_rat_llr,255.25,from_multivar,9
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_pt_x_trijet_pt_rat_llr,255.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_blnu_pt_x_trijet_pt_rat_llr,255.25,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_pt_x_trijet_pt_rat_llr,255.25,from_multivar,8
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,255.625,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_trijet_mInv_x_trijet_pt_llr,255.625,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,255.75,from_multivar,8
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_trijet_pt_llr,255.875,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_x_trijet_pt_rat_llr,255.9375,from_multivar,9
bjets_mbb_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_pt_rat_llr,255.9688,from_multivar,5
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,256.25,from_multivar,7
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,256.25,from_multivar,9
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_rat_llr,256.25,from_multivar,9
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_trijet_pt_x_trijet_pt_rat_llr,256.25,from_multivar,9
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_x_trijet_pt_rat_llr,256.25,from_multivar,11
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_blnu_mT_x_trijet_mInv_x_trijet_pt_llr,256.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,256.25,from_multivar,7
bjets_mbb_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,256.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,256.25,from_multivar,8
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_x_trijet_pt_rat_llr,256.625,from_multivar,9
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,256.625,from_multivar,10
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_trijet_mInv_x_trijet_pt_llr,256.625,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_x_trijet_pt_rat_llr,256.625,from_multivar,10
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,256.875,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_pt_rat_llr,256.875,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_pt_rat_llr,257.25,from_multivar,7
bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,257.5,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_x_trijet_bijet_dR_llr,257.625,from_multivar,10
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_pt_x_trijet_pt_rat_llr,257.625,from_multivar,7
